"model","mode","threshold","top_n","flag","scenario","precision","recall","f1","accuracy","codes_emitted","tp","fp","fn","sim_pairs_kept","icd9_with_any_sim"
"ClinicalBERT","absolute",0.8,25,3,"top co-occurrence or in both lists",0.227,0.498,0.312,0.185,2054,467,1587,470,551755,354
"ClinicalBERT","absolute",0.8,25,4,"any of the three",0.235,0.557,0.331,0.198,2222,522,1700,415,551755,354
"ClinicalBERT","absolute",0.8,30,1,"top cosine or top co-occurrence",0.585,0.368,0.452,0.292,590,345,245,592,551755,354
"ClinicalBERT","absolute",0.8,30,2,"top cosine or in both lists",0.217,0.569,0.314,0.187,2452,533,1919,404,551755,354
"ClinicalBERT","absolute",0.8,30,3,"top co-occurrence or in both lists",0.21,0.517,0.299,0.176,2303,484,1819,453,551755,354
"ClinicalBERT","absolute",0.8,30,4,"any of the three",0.218,0.573,0.316,0.187,2466,537,1929,400,551755,354
"ClinicalBERT","absolute",0.85,3,1,"top cosine or top co-occurrence",0.586,0.354,0.441,0.283,567,332,235,605,315509,354
"ClinicalBERT","absolute",0.85,3,2,"top cosine or in both lists",0.518,0.375,0.435,0.278,677,351,326,586,315509,354
"ClinicalBERT","absolute",0.85,3,3,"top co-occurrence or in both lists",0.539,0.281,0.369,0.226,488,263,225,674,315509,354
"ClinicalBERT","absolute",0.85,3,4,"any of the three",0.511,0.393,0.444,0.285,720,368,352,569,315509,354
"ClinicalBERT","absolute",0.85,5,1,"top cosine or top co-occurrence",0.587,0.364,0.449,0.29,581,341,240,596,315509,354
"ClinicalBERT","absolute",0.85,5,2,"top cosine or in both lists",0.436,0.403,0.419,0.265,866,378,488,559,315509,354
"ClinicalBERT","absolute",0.85,5,3,"top co-occurrence or in both lists",0.439,0.324,0.373,0.229,693,304,389,633,315509,354
"ClinicalBERT","absolute",0.85,5,4,"any of the three",0.435,0.424,0.429,0.273,912,397,515,540,315509,354
"ClinicalBERT","absolute",0.85,10,1,"top cosine or top co-occurrence",0.585,0.365,0.45,0.29,585,342,243,595,315509,354
"ClinicalBERT","absolute",0.85,10,2,"top cosine or in both lists",0.348,0.449,0.392,0.244,1211,421,790,516,315509,354
"ClinicalBERT","absolute",0.85,10,3,"top co-occurrence or in both lists",0.345,0.392,0.367,0.224,1065,367,698,570,315509,354
"ClinicalBERT","absolute",0.85,10,4,"any of the three",0.349,0.47,0.401,0.25,1260,440,820,497,315509,354
"ClinicalBERT","absolute",0.85,15,1,"top cosine or top co-occurrence",0.585,0.365,0.45,0.29,585,342,243,595,315509,354
"ClinicalBERT","absolute",0.85,15,2,"top cosine or in both lists",0.303,0.477,0.371,0.227,1476,447,1029,490,315509,354
"ClinicalBERT","absolute",0.85,15,3,"top co-occurrence or in both lists",0.3,0.431,0.354,0.215,1345,404,941,533,315509,354
"ClinicalBERT","absolute",0.85,15,4,"any of the three",0.306,0.497,0.379,0.233,1525,466,1059,471,315509,354
"ClinicalBERT","absolute",0.85,20,1,"top cosine or top co-occurrence",0.585,0.367,0.451,0.291,588,344,244,593,315509,354
"ClinicalBERT","absolute",0.85,20,2,"top cosine or in both lists",0.276,0.494,0.354,0.215,1675,463,1212,474,315509,354
"ClinicalBERT","absolute",0.85,20,3,"top co-occurrence or in both lists",0.274,0.455,0.342,0.206,1552,426,1126,511,315509,354
"ClinicalBERT","absolute",0.85,20,4,"any of the three",0.28,0.515,0.363,0.222,1725,483,1242,454,315509,354
"ClinicalBERT","absolute",0.85,25,1,"top cosine or top co-occurrence",0.586,0.368,0.452,0.292,589,345,244,592,315509,354
"ClinicalBERT","absolute",0.85,25,2,"top cosine or in both lists",0.258,0.512,0.343,0.207,1864,480,1384,457,315509,354
"ClinicalBERT","absolute",0.85,25,3,"top co-occurrence or in both lists",0.255,0.475,0.332,0.199,1747,445,1302,492,315509,354
"ClinicalBERT","absolute",0.85,25,4,"any of the three",0.261,0.534,0.351,0.213,1914,500,1414,437,315509,354
"ClinicalBERT","absolute",0.85,30,1,"top cosine or top co-occurrence",0.586,0.368,0.452,0.292,589,345,244,592,315509,354
"ClinicalBERT","absolute",0.85,30,2,"top cosine or in both lists",0.239,0.527,0.329,0.197,2063,494,1569,443,315509,354
"ClinicalBERT","absolute",0.85,30,3,"top co-occurrence or in both lists",0.236,0.492,0.319,0.19,1951,461,1490,476,315509,354
"ClinicalBERT","absolute",0.85,30,4,"any of the three",0.243,0.549,0.337,0.203,2113,514,1599,423,315509,354
"ClinicalBERT","absolute",0.9,3,1,"top cosine or top co-occurrence",0.59,0.354,0.442,0.284,563,332,231,605,78791,352
"ClinicalBERT","absolute",0.9,3,2,"top cosine or in both lists",0.545,0.324,0.406,0.255,558,304,254,633,78791,352
"ClinicalBERT","absolute",0.9,3,3,"top co-occurrence or in both lists",0.568,0.267,0.363,0.222,440,250,190,687,78791,352
"ClinicalBERT","absolute",0.9,3,4,"any of the three",0.531,0.379,0.442,0.284,668,355,313,582,78791,352
"ClinicalBERT","absolute",0.9,5,1,"top cosine or top co-occurrence",0.591,0.364,0.451,0.291,577,341,236,596,78791,352
"ClinicalBERT","absolute",0.9,5,2,"top cosine or in both lists",0.468,0.34,0.394,0.245,682,319,363,618,78791,352
"ClinicalBERT","absolute",0.9,5,3,"top co-occurrence or in both lists",0.483,0.301,0.371,0.228,584,282,302,655,78791,352
"ClinicalBERT","absolute",0.9,5,4,"any of the three",0.469,0.4,0.432,0.276,799,375,424,562,78791,352
"ClinicalBERT","absolute",0.9,10,1,"top cosine or top co-occurrence",0.589,0.365,0.451,0.291,581,342,239,595,78791,352
"ClinicalBERT","absolute",0.9,10,2,"top cosine or in both lists",0.383,0.365,0.374,0.23,893,342,551,595,78791,352
"ClinicalBERT","absolute",0.9,10,3,"top co-occurrence or in both lists",0.395,0.347,0.369,0.227,822,325,497,612,78791,352
"ClinicalBERT","absolute",0.9,10,4,"any of the three",0.393,0.425,0.408,0.256,1013,398,615,539,78791,352
"ClinicalBERT","absolute",0.9,15,1,"top cosine or top co-occurrence",0.589,0.365,0.451,0.291,581,342,239,595,78791,352
"ClinicalBERT","absolute",0.9,15,2,"top cosine or in both lists",0.342,0.382,0.361,0.22,1046,358,688,579,78791,352
"ClinicalBERT","absolute",0.9,15,3,"top co-occurrence or in both lists",0.356,0.376,0.366,0.223,990,352,638,585,78791,352
"ClinicalBERT","absolute",0.9,15,4,"any of the three",0.355,0.442,0.394,0.245,1166,414,752,523,78791,352
"ClinicalBERT","absolute",0.9,20,1,"top cosine or top co-occurrence",0.589,0.367,0.452,0.292,584,344,240,593,78791,352
"ClinicalBERT","absolute",0.9,20,2,"top cosine or in both lists",0.32,0.395,0.354,0.214,1158,370,788,567,78791,352
"ClinicalBERT","absolute",0.9,20,3,"top co-occurrence or in both lists",0.333,0.395,0.361,0.221,1110,370,740,567,78791,352
"ClinicalBERT","absolute",0.9,20,4,"any of the three",0.334,0.456,0.386,0.239,1279,427,852,510,78791,352
"ClinicalBERT","absolute",0.9,25,1,"top cosine or top co-occurrence",0.59,0.368,0.453,0.293,585,345,240,592,78791,352
"ClinicalBERT","absolute",0.9,25,2,"top cosine or in both lists",0.302,0.407,0.347,0.209,1263,381,882,556,78791,352
"ClinicalBERT","absolute",0.9,25,3,"top co-occurrence or in both lists",0.314,0.409,0.355,0.216,1221,383,838,554,78791,352
"ClinicalBERT","absolute",0.9,25,4,"any of the three",0.316,0.467,0.377,0.233,1384,438,946,499,78791,352
"ClinicalBERT","absolute",0.9,30,1,"top cosine or top co-occurrence",0.59,0.368,0.453,0.293,585,345,240,592,78791,352
"ClinicalBERT","absolute",0.9,30,2,"top cosine or in both lists",0.283,0.416,0.337,0.203,1376,390,986,547,78791,352
"ClinicalBERT","absolute",0.9,30,3,"top co-occurrence or in both lists",0.294,0.42,0.346,0.209,1339,394,945,543,78791,352
"ClinicalBERT","absolute",0.9,30,4,"any of the three",0.299,0.477,0.368,0.225,1497,447,1050,490,78791,352
"ClinicalBERT","absolute",0.92,3,1,"top cosine or top co-occurrence",0.596,0.351,0.442,0.284,552,329,223,608,31160,342
"ClinicalBERT","absolute",0.92,3,2,"top cosine or in both lists",0.56,0.296,0.387,0.24,495,277,218,660,31160,342
"ClinicalBERT","absolute",0.92,3,3,"top co-occurrence or in both lists",0.583,0.259,0.359,0.219,417,243,174,694,31160,342
"ClinicalBERT","absolute",0.92,3,4,"any of the three",0.544,0.368,0.439,0.281,634,345,289,592,31160,342
"ClinicalBERT","absolute",0.92,5,1,"top cosine or top co-occurrence",0.596,0.361,0.45,0.29,567,338,229,599,31160,342
"ClinicalBERT","absolute",0.92,5,2,"top cosine or in both lists",0.497,0.306,0.379,0.234,577,287,290,650,31160,342
"ClinicalBERT","absolute",0.92,5,3,"top co-occurrence or in both lists",0.519,0.29,0.372,0.229,524,272,252,665,31160,342
"ClinicalBERT","absolute",0.92,5,4,"any of the three",0.497,0.386,0.435,0.278,729,362,367,575,31160,342
"ClinicalBERT","absolute",0.92,10,1,"top cosine or top co-occurrence",0.594,0.362,0.45,0.29,571,339,232,598,31160,342
"ClinicalBERT","absolute",0.92,10,2,"top cosine or in both lists",0.42,0.321,0.364,0.223,716,301,415,636,31160,342
"ClinicalBERT","absolute",0.92,10,3,"top co-occurrence or in both lists",0.445,0.328,0.378,0.233,690,307,383,630,31160,342
"ClinicalBERT","absolute",0.92,10,4,"any of the three",0.432,0.402,0.416,0.263,872,377,495,560,31160,342
"ClinicalBERT","absolute",0.92,15,1,"top cosine or top co-occurrence",0.594,0.362,0.45,0.29,571,339,232,598,31160,342
"ClinicalBERT","absolute",0.92,15,2,"top cosine or in both lists",0.381,0.331,0.354,0.215,814,310,504,627,31160,342
"ClinicalBERT","absolute",0.92,15,3,"top co-occurrence or in both lists",0.407,0.349,0.376,0.231,803,327,476,610,31160,342
"ClinicalBERT","absolute",0.92,15,4,"any of the three",0.398,0.412,0.405,0.254,970,386,584,551,31160,342
"ClinicalBERT","absolute",0.92,20,1,"top cosine or top co-occurrence",0.594,0.364,0.451,0.291,574,341,233,596,31160,342
"ClinicalBERT","absolute",0.92,20,2,"top cosine or in both lists",0.36,0.343,0.351,0.213,891,321,570,616,31160,342
"ClinicalBERT","absolute",0.92,20,3,"top co-occurrence or in both lists",0.387,0.367,0.377,0.232,888,344,544,593,31160,342
