"track","track_label","icd9","group","partners","mean","sd","min","q1","median","q3","max","total","icd9_label","ccs_id","ccs_category"
"10_9","ICD-9-CM to ICD-10-CA","242","has a reference match",275,42.76,117.98763018178,7,10,17,35,1635,11759,"thyrotoxicosis with or without goiter","31","thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","243","has a reference match",10,10.6,4.2478752858864,7,7,9.5,12,19,106,"congenital hypothyroidism","31","thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","244","has a reference match",555,109.018018018018,276.685102389253,7,15,32,94.5,3267,60505,"acquired hypothyroidism","31","thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","245","has a reference match",34,15,11.908743922773,7,8,10,17,53,510,"thyroiditis","31","thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","246","has a reference match",143,29.7692307692308,43.0755465265276,7,9,15,25.5,274,4257,"other disorders of thyroid","31","thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","250","has a reference match",1074,822.932960893855,6268.62887579525,7,22,73,329.75,187210,883830,"diabetes mellitus","32","diabetes mellitus"
"10_9","ICD-9-CM to ICD-10-CA","251","has a reference match",406,99.935960591133,470.422401034433,7,12,25,61,8774,40574,"other disorders of pancreatic internal secretiondisorders of parathyroid gland","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","252","has a reference match",164,52.7256097560976,127.822889653058,7,10,16,33.25,985,8647,"disorders of parathyroid gland","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","253","has a reference match",213,37.6431924882629,76.2895082498585,7,10,17,35,701,8018,"disorders of the pituitary gland and its hypothalamic control","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","254","has a reference match",6,14.5,10.3682206766639,8,8.5,10.5,14,35,87,"diseases of thymus gland","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","255","has a reference match",324,47.9783950617284,113.261046027579,7,11.75,19,42,1473,15545,"disorders of adrenal glands","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","256","has a reference match",42,18.4047619047619,13.9547343549613,7,9.25,13,20.75,81,773,"ovarian dysfunction","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","257","has a reference match",41,17.1463414634146,15.6069871781996,7,8,13,16,81,703,"testicular dysfunction","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","258","has a reference match",10,11,6.73300329224139,7,7,8,10.75,28,110,"polyglandular dysfunction and related disorders","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","259","has a reference match",62,19.0161290322581,19.043945671451,7,9,12.5,20.25,113,1179,"other endocrine disorders","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","260","has a reference match",NA,NA,NA,NA,NA,NA,NA,NA,NA,"kwashiorkor","34","nutritional deficiencies"
"10_9","ICD-9-CM to ICD-10-CA","261","has a reference match",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutritional marasmus","34","nutritional deficiencies"
"10_9","ICD-9-CM to ICD-10-CA","262","has a reference match",22,13.2727272727273,7.05881291909906,7,8.25,11,14.75,33,292,"other severe proteincalorie malnutrition","34","nutritional deficiencies"
"10_9","ICD-9-CM to ICD-10-CA","263","has a reference match",531,151.007532956686,384.417756176665,7,13,33,108,4213,80185,"other and unspecified proteincalorie malnutrition","34","nutritional deficiencies"
"10_9","ICD-9-CM to ICD-10-CA","268","has a reference match",50,19.72,19.7029366919176,7,9.25,15,20,129,986,"vitamin d deficiency","34","nutritional deficiencies"
"10_9","ICD-9-CM to ICD-10-CA","270","has a reference match",56,18.6964285714286,19.6939489025595,7,9,12.5,19,113,1047,"disorders of aminoacid transport and metabolism","35","other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","271","has a reference match",22,18.8636363636364,17.5967947691387,7,9,14,18.75,88,415,"disorders of carbohydrate transport and metabolism","35","other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","272","has a reference match",460,105.245652173913,363.328060288247,7,12.75,27,81.25,5732,48413,"disorders of lipoid metabolism","36","disorders of lipid metabolism"
"10_9","ICD-9-CM to ICD-10-CA","273","has a reference match",171,30.4970760233918,47.9070637391393,7,9,16,31,390,5215,"disorders of plasma protein metabolism","35","other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","274","has a reference match",362,93.2044198895028,308.098164344381,7,12,25,60.5,3540,33740,"gout","37","gout and other crystal arthropathies"
"10_9","ICD-9-CM to ICD-10-CA","275","has a reference match",444,109.112612612613,348.465006677769,7,13.75,29,77.25,4795,48446,"disorders of mineral metabolism","35","other nutritional endocrine immunity and metabolic disorders"
