"track","model","sim_mode","sim_param","top_n","chapter_filter","pool_pairs","pool_per_code","recall_ceiling","oracle_f1"
"10_9","mpnet","topk",1,20,TRUE,2085,5.89,0.5667,0.7234
"10_9","mpnet","topk",1,20,FALSE,6877,19.43,0.588,0.7406
"10_9","mpnet","topk",1,30,TRUE,2621,7.4,0.6073,0.7556
"10_9","mpnet","topk",1,30,FALSE,10084,28.49,0.6297,0.7728
"10_9","mpnet","topk",1,50,TRUE,3589,10.14,0.6574,0.7933
"10_9","mpnet","topk",1,50,FALSE,16064,45.38,0.6841,0.8124
"10_9","mpnet","topk",3,3,TRUE,1220,3.46,0.5571,0.7156
"10_9","mpnet","topk",3,3,FALSE,1879,5.31,0.572,0.7278
"10_9","mpnet","topk",3,5,TRUE,1438,4.07,0.5784,0.7329
"10_9","mpnet","topk",3,5,FALSE,2512,7.1,0.5945,0.7456
"10_9","mpnet","topk",3,10,TRUE,1872,5.29,0.6115,0.7589
"10_9","mpnet","topk",3,10,FALSE,4144,11.71,0.6318,0.7744
"10_9","mpnet","topk",3,20,TRUE,2470,6.98,0.651,0.7886
"10_9","mpnet","topk",3,20,FALSE,7385,20.86,0.6766,0.8071
"10_9","mpnet","topk",3,30,TRUE,2979,8.42,0.6852,0.8132
"10_9","mpnet","topk",3,30,FALSE,10561,29.83,0.7118,0.8317
"10_9","mpnet","topk",3,50,TRUE,3907,11.04,0.7236,0.8396
"10_9","mpnet","topk",3,50,FALSE,16498,46.6,0.7545,0.8601
"10_9","mpnet","topk",5,3,TRUE,1712,4.85,0.6265,0.7703
"10_9","mpnet","topk",5,3,FALSE,2548,7.2,0.6425,0.7823
"10_9","mpnet","topk",5,5,TRUE,1913,5.42,0.6435,0.7831
"10_9","mpnet","topk",5,5,FALSE,3163,8.94,0.6606,0.7956
"10_9","mpnet","topk",5,10,TRUE,2312,6.53,0.6702,0.8026
"10_9","mpnet","topk",5,10,FALSE,4757,13.44,0.6916,0.8177
"10_9","mpnet","topk",5,20,TRUE,2887,8.16,0.7012,0.8243
"10_9","mpnet","topk",5,20,FALSE,7969,22.51,0.7279,0.8425
"10_9","mpnet","topk",5,30,TRUE,3370,9.52,0.73,0.8439
"10_9","mpnet","topk",5,30,FALSE,11114,31.4,0.7577,0.8622
"10_9","mpnet","topk",5,50,TRUE,4265,12.05,0.7641,0.8663
"10_9","mpnet","topk",5,50,FALSE,17013,48.06,0.7962,0.8865
"10_9","mpnet","topk",10,3,TRUE,2905,8.23,0.698,0.8221
"10_9","mpnet","topk",10,3,FALSE,4273,12.07,0.715,0.8339
"10_9","mpnet","topk",10,5,TRUE,3077,8.72,0.7118,0.8317
"10_9","mpnet","topk",10,5,FALSE,4855,13.71,0.73,0.8439
"10_9","mpnet","topk",10,10,TRUE,3425,9.68,0.7279,0.8425
"10_9","mpnet","topk",10,10,FALSE,6389,18.05,0.7503,0.8573
"10_9","mpnet","topk",10,20,TRUE,3938,11.12,0.746,0.8545
"10_9","mpnet","topk",10,20,FALSE,9521,26.9,0.7727,0.8718
"10_9","mpnet","topk",10,30,TRUE,4372,12.35,0.7705,0.8704
"10_9","mpnet","topk",10,30,FALSE,12603,35.6,0.7983,0.8878
"10_9","mpnet","topk",10,50,TRUE,5190,14.66,0.7972,0.8872
"10_9","mpnet","topk",10,50,FALSE,18412,52.01,0.8292,0.9067
"10_9","mpnet","topk",20,3,TRUE,5029,14.25,0.7673,0.8684
"10_9","mpnet","topk",20,3,FALSE,7745,21.88,0.7887,0.8819
"10_9","mpnet","topk",20,5,TRUE,5173,14.65,0.7801,0.8765
"10_9","mpnet","topk",20,5,FALSE,8294,23.43,0.8015,0.8898
"10_9","mpnet","topk",20,10,TRUE,5451,15.4,0.793,0.8845
"10_9","mpnet","topk",20,10,FALSE,9739,27.51,0.8186,0.9002
"10_9","mpnet","topk",20,20,TRUE,5864,16.56,0.8068,0.8931
"10_9","mpnet","topk",20,20,FALSE,12742,35.99,0.8356,0.9105
"10_9","mpnet","topk",20,30,TRUE,6220,17.57,0.826,0.9047
"10_9","mpnet","topk",20,30,FALSE,15726,44.42,0.8559,0.9224
"10_9","mpnet","topk",20,50,TRUE,6912,19.53,0.8431,0.9149
"10_9","mpnet","topk",20,50,FALSE,21358,60.33,0.8762,0.934
"10_9","mpnet","topk",30,3,TRUE,6924,19.61,0.8026,0.8905
"10_9","mpnet","topk",30,3,FALSE,11237,31.74,0.825,0.9041
"10_9","mpnet","topk",30,5,TRUE,7048,19.97,0.8122,0.8963
"10_9","mpnet","topk",30,5,FALSE,11760,33.22,0.8346,0.9098
"10_9","mpnet","topk",30,10,TRUE,7287,20.58,0.8218,0.9022
"10_9","mpnet","topk",30,10,FALSE,13154,37.16,0.8474,0.9174
"10_9","mpnet","topk",30,20,TRUE,7652,21.62,0.8314,0.9079
"10_9","mpnet","topk",30,20,FALSE,16091,45.45,0.8602,0.9248
"10_9","mpnet","topk",30,30,TRUE,7955,22.47,0.8431,0.9149
"10_9","mpnet","topk",30,30,FALSE,18999,53.67,0.873,0.9322
"10_9","mpnet","topk",30,50,TRUE,8561,24.18,0.8602,0.9248
"10_9","mpnet","topk",30,50,FALSE,24512,69.24,0.8933,0.9436
"10_9","mpnet","topk",50,3,TRUE,10145,28.66,0.8442,0.9155
"10_9","mpnet","topk",50,3,FALSE,18278,51.63,0.8709,0.931
"10_9","mpnet","topk",50,5,TRUE,10240,28.93,0.8538,0.9211
"10_9","mpnet","topk",50,5,FALSE,18764,53.01,0.8805,0.9364
"10_9","mpnet","topk",50,10,TRUE,10431,29.47,0.8602,0.9248
"10_9","mpnet","topk",50,10,FALSE,20080,56.72,0.889,0.9412
"10_9","mpnet","topk",50,20,TRUE,10721,30.29,0.8687,0.9298
"10_9","mpnet","topk",50,20,FALSE,22893,64.67,0.9007,0.9478
"10_9","mpnet","topk",50,30,TRUE,10964,30.97,0.8794,0.9358
"10_9","mpnet","topk",50,30,FALSE,25693,72.58,0.9125,0.9542
"10_9","mpnet","topk",50,50,TRUE,11456,32.36,0.8922,0.943
"10_9","mpnet","topk",50,50,FALSE,31012,87.6,0.9274,0.9623
"8_9","SapBERT","relative",0.999,3,TRUE,703,2.03,0.8459,0.9165
"8_9","SapBERT","relative",0.999,3,FALSE,921,2.6,0.855,0.9218
"8_9","SapBERT","relative",0.999,5,TRUE,900,2.59,0.852,0.9201
"8_9","SapBERT","relative",0.999,5,FALSE,1390,3.93,0.861,0.9253
