"track","tau","n_emitted","codes_covered","code_coverage","precision","recall","f1"
"10_9",0.7,507,325,0.942028985507246,0.877712031558185,0.545343137254902,0.672713529856387
"10_9",0.71,501,325,0.942028985507246,0.884231536926148,0.542892156862745,0.672741078208049
"10_9",0.72,499,325,0.942028985507246,0.88376753507014,0.540441176470588,0.670722433460076
"10_9",0.73,489,324,0.939130434782609,0.895705521472393,0.536764705882353,0.671264367816092
"10_9",0.74,482,323,0.936231884057971,0.898340248962656,0.530637254901961,0.667180277349769
"10_9",0.75,475,322,0.933333333333333,0.905263157894737,0.526960784313726,0.666150271107669
"10_9",0.76,468,322,0.933333333333333,0.91025641025641,0.522058823529412,0.663551401869159
"10_9",0.77,460,319,0.92463768115942,0.910869565217391,0.513480392156863,0.656739811912226
"10_9",0.78,454,318,0.921739130434783,0.911894273127753,0.507352941176471,0.651968503937008
"10_9",0.79,446,316,0.915942028985507,0.912556053811659,0.498774509803922,0.645007923930269
"10_9",0.8,440,315,0.91304347826087,0.918181818181818,0.495098039215686,0.643312101910828
"10_9",0.81,430,314,0.910144927536232,0.92093023255814,0.485294117647059,0.635634028892456
"10_9",0.82,421,310,0.898550724637681,0.926365795724466,0.477941176470588,0.63055780113177
"10_9",0.83,417,310,0.898550724637681,0.928057553956835,0.474264705882353,0.627737226277372
"10_9",0.84,410,307,0.889855072463768,0.934146341463415,0.469362745098039,0.624796084828711
"10_9",0.85,399,302,0.87536231884058,0.942355889724311,0.46078431372549,0.618930041152263
"10_9",0.86,394,301,0.872463768115942,0.946700507614213,0.457107843137255,0.616528925619835
"10_9",0.87,384,299,0.866666666666667,0.953125,0.448529411764706,0.61
"10_9",0.88,379,298,0.863768115942029,0.95778364116095,0.444852941176471,0.607531380753138
"10_9",0.89,372,295,0.855072463768116,0.959677419354839,0.4375,0.601010101010101
"10_9",0.9,365,293,0.849275362318841,0.964383561643836,0.431372549019608,0.5961049957663
"10_9",0.91,354,290,0.840579710144927,0.966101694915254,0.419117647058824,0.584615384615385
"10_9",0.92,345,290,0.840579710144927,0.968115942028986,0.409313725490196,0.575366063738157
"10_9",0.93,328,281,0.814492753623188,0.966463414634146,0.388480392156863,0.554195804195804
"10_9",0.94,316,275,0.797101449275362,0.968354430379747,0.375,0.540636042402827
"10_9",0.95,300,264,0.765217391304348,0.98,0.360294117647059,0.526881720430108
"10_9",0.97,265,246,0.71304347826087,0.984905660377358,0.319852941176471,0.482886216466235
"10_9",0.99,189,185,0.536231884057971,1,0.231617647058824,0.376119402985075
"8_9",0.01,641,300,0.993377483443709,0.483619344773791,0.950920245398773,0.641158221302999
"8_9",0.02,526,300,0.993377483443709,0.583650190114068,0.941717791411043,0.720657276995305
"8_9",0.03,474,300,0.993377483443709,0.645569620253165,0.938650306748466,0.765
"8_9",0.04,444,300,0.993377483443709,0.682432432432432,0.929447852760736,0.787012987012987
"8_9",0.05,423,300,0.993377483443709,0.713947990543735,0.926380368098159,0.806408544726302
"8_9",0.06,412,299,0.990066225165563,0.725728155339806,0.917177914110429,0.81029810298103
"8_9",0.07,400,298,0.986754966887417,0.74,0.907975460122699,0.815426997245179
"8_9",0.08,393,298,0.986754966887417,0.753180661577608,0.907975460122699,0.82336578581363
"8_9",0.09,390,298,0.986754966887417,0.758974358974359,0.907975460122699,0.826815642458101
"8_9",0.1,386,298,0.986754966887417,0.766839378238342,0.907975460122699,0.831460674157303
"8_9",0.11,379,297,0.983443708609272,0.775725593667546,0.901840490797546,0.834042553191489
"8_9",0.12,376,297,0.983443708609272,0.781914893617021,0.901840490797546,0.837606837606838
"8_9",0.13,372,296,0.980132450331126,0.78494623655914,0.895705521472393,0.836676217765043
"8_9",0.14,370,295,0.97682119205298,0.786486486486486,0.892638036809816,0.836206896551724
"8_9",0.15,364,295,0.97682119205298,0.796703296703297,0.889570552147239,0.840579710144927
"8_9",0.16,360,295,0.97682119205298,0.802777777777778,0.886503067484663,0.842565597667638
"8_9",0.17,358,294,0.973509933774834,0.807262569832402,0.886503067484663,0.845029239766082
"8_9",0.18,355,294,0.973509933774834,0.808450704225352,0.880368098159509,0.84287812041116
"8_9",0.19,350,292,0.966887417218543,0.817142857142857,0.877300613496933,0.846153846153846
"8_9",0.2,348,291,0.963576158940397,0.82183908045977,0.877300613496933,0.8486646884273
"8_9",0.21,346,291,0.963576158940397,0.826589595375723,0.877300613496933,0.851190476190476
"8_9",0.22,343,291,0.963576158940397,0.82798833819242,0.871165644171779,0.849028400597907
"8_9",0.23,343,291,0.963576158940397,0.82798833819242,0.871165644171779,0.849028400597907
"8_9",0.24,341,290,0.960264900662252,0.832844574780059,0.871165644171779,0.851574212893553
