"CCS_ID","TP","FP","FN","Precision","Recall","F1","Accuracy","track","model"
58,1,0,2,1,0.333,0.5,0.333,"10_9","SapBERT"
59,2,0,1,1,0.667,0.8,0.667,"10_9","SapBERT"
60,1,2,0,0.333,1,0.5,0.333,"10_9","SapBERT"
61,6,0,1,1,0.857,0.923,0.857,"10_9","SapBERT"
62,3,1,5,0.75,0.375,0.5,0.333,"10_9","SapBERT"
63,2,0,1,1,0.667,0.8,0.667,"10_9","SapBERT"
64,3,4,6,0.429,0.333,0.375,0.231,"10_9","SapBERT"
65,2,8,12,0.2,0.143,0.167,0.091,"10_9","SapBERT"
66,1,0,0,1,1,1,1,"10_9","SapBERT"
67,3,5,1,0.375,0.75,0.5,0.333,"10_9","SapBERT"
68,1,0,2,1,0.333,0.5,0.333,"10_9","SapBERT"
69,3,4,2,0.429,0.6,0.5,0.333,"10_9","SapBERT"
70,3,4,1,0.429,0.75,0.546,0.375,"10_9","SapBERT"
71,2,1,0,0.667,1,0.8,0.667,"10_9","SapBERT"
72,3,0,3,1,0.5,0.667,0.5,"10_9","SapBERT"
73,1,2,6,0.333,0.143,0.2,0.111,"10_9","SapBERT"
74,5,4,6,0.556,0.455,0.5,0.333,"10_9","SapBERT"
75,0,3,1,0,0,0,0,"10_9","SapBERT"
76,2,2,3,0.5,0.4,0.444,0.286,"10_9","SapBERT"
77,7,3,6,0.7,0.538,0.608,0.438,"10_9","SapBERT"
78,1,1,0,0.5,1,0.667,0.5,"10_9","SapBERT"
79,1,1,0,0.5,1,0.667,0.5,"10_9","SapBERT"
80,4,1,4,0.8,0.5,0.615,0.444,"10_9","SapBERT"
81,4,5,3,0.444,0.571,0.5,0.333,"10_9","SapBERT"
82,1,0,0,1,1,1,1,"10_9","SapBERT"
83,1,0,0,1,1,1,1,"10_9","SapBERT"
84,5,1,1,0.833,0.833,0.833,0.714,"10_9","SapBERT"
85,1,0,0,1,1,1,1,"10_9","SapBERT"
86,8,5,2,0.615,0.8,0.695,0.533,"10_9","SapBERT"
87,2,5,3,0.286,0.4,0.334,0.2,"10_9","SapBERT"
88,2,0,5,1,0.286,0.445,0.286,"10_9","SapBERT"
89,2,2,2,0.5,0.5,0.5,0.333,"10_9","SapBERT"
90,2,0,2,1,0.5,0.667,0.5,"10_9","SapBERT"
