"CCS_ID","TP","FP","FN","Precision","Recall","F1","Accuracy","track","model"
116,1,0,0,1,1,1,1,"8_9","SapBERT"
117,1,0,0,1,1,1,1,"8_9","SapBERT"
118,2,2,3,0.5,0.4,0.444,0.286,"8_9","SapBERT"
119,1,0,1,1,0.5,0.667,0.5,"8_9","SapBERT"
120,1,0,1,1,0.5,0.667,0.5,"8_9","SapBERT"
121,1,0,0,1,1,1,1,"8_9","SapBERT"
122,1,0,0,1,1,1,1,"8_9","SapBERT"
123,2,1,1,0.667,0.667,0.667,0.5,"8_9","SapBERT"
124,0,1,1,0,0,0,0,"8_9","SapBERT"
125,1,0,0,1,1,1,1,"8_9","SapBERT"
126,3,0,0,1,1,1,1,"8_9","SapBERT"
127,8,2,2,0.8,0.8,0.8,0.667,"8_9","SapBERT"
128,2,0,0,1,1,1,1,"8_9","SapBERT"
129,2,0,0,1,1,1,1,"8_9","SapBERT"
130,2,0,0,1,1,1,1,"8_9","SapBERT"
