"icd9","best_target","max_similarity","track","track_label"
"429","I51",0.876397132873535,"10_9","ICD-9-CM to ICD-10-CA"
"430","I60",0.940915822982788,"10_9","ICD-9-CM to ICD-10-CA"
"431","I61",0.93484365940094,"10_9","ICD-9-CM to ICD-10-CA"
"432","I61",0.931289911270142,"10_9","ICD-9-CM to ICD-10-CA"
"433","I71",0.914948523044586,"10_9","ICD-9-CM to ICD-10-CA"
"434","I71",0.911628127098083,"10_9","ICD-9-CM to ICD-10-CA"
"435","I66",0.90847110748291,"10_9","ICD-9-CM to ICD-10-CA"
"436","J03",0.909236311912537,"10_9","ICD-9-CM to ICD-10-CA"
"437","M82",0.915080428123474,"10_9","ICD-9-CM to ICD-10-CA"
"438","I69",0.913445353507996,"10_9","ICD-9-CM to ICD-10-CA"
"440","I70",0.942530870437622,"10_9","ICD-9-CM to ICD-10-CA"
"441","I71",0.931316375732422,"10_9","ICD-9-CM to ICD-10-CA"
"442","I72",0.909686207771301,"10_9","ICD-9-CM to ICD-10-CA"
"443","I73",0.917122364044189,"10_9","ICD-9-CM to ICD-10-CA"
"444","I74",0.923290729522705,"10_9","ICD-9-CM to ICD-10-CA"
"445","M66",0.852714657783508,"10_9","ICD-9-CM to ICD-10-CA"
"446","M30",0.955634534358978,"10_9","ICD-9-CM to ICD-10-CA"
"447","I77",0.935865879058838,"10_9","ICD-9-CM to ICD-10-CA"
"448","I78",0.920918226242065,"10_9","ICD-9-CM to ICD-10-CA"
"453","P54",0.899435043334961,"10_9","ICD-9-CM to ICD-10-CA"
"456","I86",0.928712725639343,"10_9","ICD-9-CM to ICD-10-CA"
"457","C94",0.922395348548889,"10_9","ICD-9-CM to ICD-10-CA"
"459","I99",0.929705262184143,"10_9","ICD-9-CM to ICD-10-CA"
"472","O92",0.909446358680725,"10_9","ICD-9-CM to ICD-10-CA"
"473","J32",0.934534549713135,"10_9","ICD-9-CM to ICD-10-CA"
"474","N95",0.941753745079041,"10_9","ICD-9-CM to ICD-10-CA"
"476","M82",0.916158676147461,"10_9","ICD-9-CM to ICD-10-CA"
"477","D58",0.910430669784546,"10_9","ICD-9-CM to ICD-10-CA"
"478","K92",0.922393023967743,"10_9","ICD-9-CM to ICD-10-CA"
"491","N03",0.920401096343994,"10_9","ICD-9-CM to ICD-10-CA"
"492","M87",0.897157311439514,"10_9","ICD-9-CM to ICD-10-CA"
"493","D52",0.929075241088867,"10_9","ICD-9-CM to ICD-10-CA"
"494","J47",0.931551516056061,"10_9","ICD-9-CM to ICD-10-CA"
"495","J61",0.938214480876923,"10_9","ICD-9-CM to ICD-10-CA"
"496","M96",0.930304527282715,"10_9","ICD-9-CM to ICD-10-CA"
"500","J61",0.906022906303406,"10_9","ICD-9-CM to ICD-10-CA"
"501","E20",0.947477698326111,"10_9","ICD-9-CM to ICD-10-CA"
"502","J63",0.95544159412384,"10_9","ICD-9-CM to ICD-10-CA"
"503","J63",0.962157249450684,"10_9","ICD-9-CM to ICD-10-CA"
"504","J61",0.95483535528183,"10_9","ICD-9-CM to ICD-10-CA"
"505","J63",0.903541207313538,"10_9","ICD-9-CM to ICD-10-CA"
"506","J68",0.942175388336182,"10_9","ICD-9-CM to ICD-10-CA"
"508","J68",0.941863298416138,"10_9","ICD-9-CM to ICD-10-CA"
"512","J93",0.90527617931366,"10_9","ICD-9-CM to ICD-10-CA"
"514","J91",0.900438666343689,"10_9","ICD-9-CM to ICD-10-CA"
"515","N72",0.932231903076172,"10_9","ICD-9-CM to ICD-10-CA"
"516","N88",0.932081758975983,"10_9","ICD-9-CM to ICD-10-CA"
"517","M73",0.945299506187439,"10_9","ICD-9-CM to ICD-10-CA"
"518","K92",0.918690264225006,"10_9","ICD-9-CM to ICD-10-CA"
"523","K05",0.93117618560791,"10_9","ICD-9-CM to ICD-10-CA"
"525","K08",0.891780138015747,"10_9","ICD-9-CM to ICD-10-CA"
"530","K22",0.919402599334717,"10_9","ICD-9-CM to ICD-10-CA"
